Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score
"151833","CVE-2021-33910","4.9","Medium","10.255.112.115","tcp","0","Debian DSA-4942-1 : systemd - security update","The remote Debian host is missing a security-related update.","The remote Debian 10 host has packages installed that are affected by a vulnerability as referenced in the dsa-4942
advisory.

    The Qualys Research Labs discovered that an attacker-controlled allocation using the alloca() function
    could result in memory corruption, allowing to crash systemd and hence the entire operating system.
    Details can be found in the Qualys advisory at https://www.qualys.com/2021/07/20/cve-2021-33910/denial-of-
    service-systemd.txt For the stable distribution (buster), this problem has been fixed in version
    241-7~deb10u8. We recommend that you upgrade your systemd packages. For the detailed security status of
    systemd please refer to its security tracker page at: https://security-tracker.debian.org/tracker/systemd

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade the systemd packages.

For the stable distribution (buster), this problem has been fixed in version 241-7~deb10u8.","https://security-tracker.debian.org/tracker/source-package/systemd
https://www.debian.org/security/2021/dsa-4942
https://security-tracker.debian.org/tracker/CVE-2021-33910
https://packages.debian.org/source/buster/systemd","
Remote package installed : libnss-systemd_241-7~deb10u7
Should be : libnss-systemd_241-7~deb10u8
Remote package installed : libpam-systemd_241-7~deb10u7
Should be : libpam-systemd_241-7~deb10u8
Remote package installed : libsystemd0_241-7~deb10u7
Should be : libsystemd0_241-7~deb10u8
Remote package installed : libudev1_241-7~deb10u7
Should be : libudev1_241-7~deb10u8
Remote package installed : systemd_241-7~deb10u7
Should be : systemd_241-7~deb10u8
Remote package installed : systemd-sysv_241-7~deb10u7
Should be : systemd-sysv_241-7~deb10u8
Remote package installed : udev_241-7~deb10u7
Should be : udev_241-7~deb10u8
","5.5"
"152068","CVE-2021-36222","5.0","Medium","10.255.112.115","tcp","0","Debian DSA-4944-1 : krb5 - security update","The remote Debian host is missing a security-related update.","The remote Debian 10 host has packages installed that are affected by a vulnerability as referenced in the dsa-4944
advisory.

  - ec_verify in kdc/kdc_preauth_ec.c in the Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) before
    1.18.4 and 1.19.x before 1.19.2 allows remote attackers to cause a NULL pointer dereference and daemon
    crash. This occurs because a return value is not properly managed in a certain situation. (CVE-2021-36222)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade the krb5 packages.

For the stable distribution (buster), this problem has been fixed in version 1.17-3+deb10u2.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=991365
https://security-tracker.debian.org/tracker/source-package/krb5
https://www.debian.org/security/2021/dsa-4944
https://security-tracker.debian.org/tracker/CVE-2021-36222
https://packages.debian.org/source/buster/krb5","
Remote package installed : krb5-locales_1.17-3+deb10u1
Should be : krb5-locales_1.17-3+deb10u2
Remote package installed : libgssapi-krb5-2_1.17-3+deb10u1
Should be : libgssapi-krb5-2_1.17-3+deb10u2
Remote package installed : libk5crypto3_1.17-3+deb10u1
Should be : libk5crypto3_1.17-3+deb10u2
Remote package installed : libkrb5-3_1.17-3+deb10u1
Should be : libkrb5-3_1.17-3+deb10u2
Remote package installed : libkrb5support0_1.17-3+deb10u1
Should be : libkrb5support0_1.17-3+deb10u2
","7.5"
"152271","CVE-2020-26558","7.5","High","10.255.112.115","tcp","0","Debian DSA-4951-1 : bluez - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4951 advisory.

    Several vulnerabilities were discovered in Bluez, the Linux Bluetooth protocol stack. CVE-2020-26558 /
    CVE-2021-0129 It was discovered that Bluez does not properly check permissions during pairing operation,
    which could allow an attacker to impersonate the initiating device. CVE-2020-27153 Jay LV discovered a
    double free flaw in the disconnect_cb() routine in the gattool. A remote attacker can take advantage of
    this flaw during service discovery for denial of service, or potentially, execution of arbitrary code. For
    the stable distribution (buster), these problems have been fixed in version 5.50-1.2~deb10u2. We recommend
    that you upgrade your bluez packages. For the detailed security status of bluez please refer to its
    security tracker page at: https://security-tracker.debian.org/tracker/bluez

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the bluez packages.

For the stable distribution (buster), these problems have been fixed in version 5.50-1.2~deb10u2.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=989614
https://security-tracker.debian.org/tracker/source-package/bluez
https://www.debian.org/security/2021/dsa-4951
https://security-tracker.debian.org/tracker/CVE-2020-26558
https://security-tracker.debian.org/tracker/CVE-2020-27153
https://security-tracker.debian.org/tracker/CVE-2021-0129
https://packages.debian.org/source/buster/bluez","
Remote package installed : bluetooth_5.50-1.2~deb10u1
Should be : bluetooth_5.50-1.2~deb10u2
Remote package installed : bluez_5.50-1.2~deb10u1
Should be : bluez_5.50-1.2~deb10u2
","8.6"
"152271","CVE-2020-27153","7.5","High","10.255.112.115","tcp","0","Debian DSA-4951-1 : bluez - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4951 advisory.

    Several vulnerabilities were discovered in Bluez, the Linux Bluetooth protocol stack. CVE-2020-26558 /
    CVE-2021-0129 It was discovered that Bluez does not properly check permissions during pairing operation,
    which could allow an attacker to impersonate the initiating device. CVE-2020-27153 Jay LV discovered a
    double free flaw in the disconnect_cb() routine in the gattool. A remote attacker can take advantage of
    this flaw during service discovery for denial of service, or potentially, execution of arbitrary code. For
    the stable distribution (buster), these problems have been fixed in version 5.50-1.2~deb10u2. We recommend
    that you upgrade your bluez packages. For the detailed security status of bluez please refer to its
    security tracker page at: https://security-tracker.debian.org/tracker/bluez

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the bluez packages.

For the stable distribution (buster), these problems have been fixed in version 5.50-1.2~deb10u2.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=989614
https://security-tracker.debian.org/tracker/source-package/bluez
https://www.debian.org/security/2021/dsa-4951
https://security-tracker.debian.org/tracker/CVE-2020-26558
https://security-tracker.debian.org/tracker/CVE-2020-27153
https://security-tracker.debian.org/tracker/CVE-2021-0129
https://packages.debian.org/source/buster/bluez","
Remote package installed : bluetooth_5.50-1.2~deb10u1
Should be : bluetooth_5.50-1.2~deb10u2
Remote package installed : bluez_5.50-1.2~deb10u1
Should be : bluez_5.50-1.2~deb10u2
","8.6"
"152271","CVE-2021-0129","7.5","High","10.255.112.115","tcp","0","Debian DSA-4951-1 : bluez - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4951 advisory.

    Several vulnerabilities were discovered in Bluez, the Linux Bluetooth protocol stack. CVE-2020-26558 /
    CVE-2021-0129 It was discovered that Bluez does not properly check permissions during pairing operation,
    which could allow an attacker to impersonate the initiating device. CVE-2020-27153 Jay LV discovered a
    double free flaw in the disconnect_cb() routine in the gattool. A remote attacker can take advantage of
    this flaw during service discovery for denial of service, or potentially, execution of arbitrary code. For
    the stable distribution (buster), these problems have been fixed in version 5.50-1.2~deb10u2. We recommend
    that you upgrade your bluez packages. For the detailed security status of bluez please refer to its
    security tracker page at: https://security-tracker.debian.org/tracker/bluez

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the bluez packages.

For the stable distribution (buster), these problems have been fixed in version 5.50-1.2~deb10u2.","https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=989614
https://security-tracker.debian.org/tracker/source-package/bluez
https://www.debian.org/security/2021/dsa-4951
https://security-tracker.debian.org/tracker/CVE-2020-26558
https://security-tracker.debian.org/tracker/CVE-2020-27153
https://security-tracker.debian.org/tracker/CVE-2021-0129
https://packages.debian.org/source/buster/bluez","
Remote package installed : bluetooth_5.50-1.2~deb10u1
Should be : bluetooth_5.50-1.2~deb10u2
Remote package installed : bluez_5.50-1.2~deb10u1
Should be : bluez_5.50-1.2~deb10u2
","8.6"
"152783","CVE-2021-3711","7.5","High","10.255.112.115","tcp","0","Debian DSA-4963-1 : openssl - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 / 11 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4963 advisory.

    Multiple vulnerabilities have been discovered in OpenSSL, a Secure Sockets Layer toolkit. CVE-2021-3711
    John Ouyang reported a buffer overflow vulnerability in the SM2 decryption. An attacker able to present
    SM2 content for decryption to an application can take advantage of this flaw to change application
    behaviour or cause the application to crash (denial of service). CVE-2021-3712 Ingo Schwarze reported a
    buffer overrun flaw when processing ASN.1 strings in the X509_aux_print() function, which can result in
    denial of service. Additional details can be found in the upstream advisory:
    https://www.openssl.org/news/secadv/20210824.txt For the oldstable distribution (buster), these problems
    have been fixed in version 1.1.1d-0+deb10u7. For the stable distribution (bullseye), these problems have
    been fixed in version 1.1.1k-1+deb11u1. We recommend that you upgrade your openssl packages. For the
    detailed security status of openssl please refer to its security tracker page at: https://security-
    tracker.debian.org/tracker/openssl

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the openssl packages.

For the stable distribution (bullseye), these problems have been fixed in version 1.1.1k-1+deb11u1.","https://security-tracker.debian.org/tracker/source-package/openssl
https://www.debian.org/security/2021/dsa-4963
https://security-tracker.debian.org/tracker/CVE-2021-3711
https://security-tracker.debian.org/tracker/CVE-2021-3712
https://packages.debian.org/source/buster/openssl
https://packages.debian.org/source/bullseye/openssl","
Remote package installed : libssl1.1_1.1.1d-0+deb10u6
Should be : libssl1.1_1.1.1d-0+deb10u7
Remote package installed : openssl_1.1.1d-0+deb10u6
Should be : openssl_1.1.1d-0+deb10u7
","9.8"
"152783","CVE-2021-3712","7.5","High","10.255.112.115","tcp","0","Debian DSA-4963-1 : openssl - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 / 11 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4963 advisory.

    Multiple vulnerabilities have been discovered in OpenSSL, a Secure Sockets Layer toolkit. CVE-2021-3711
    John Ouyang reported a buffer overflow vulnerability in the SM2 decryption. An attacker able to present
    SM2 content for decryption to an application can take advantage of this flaw to change application
    behaviour or cause the application to crash (denial of service). CVE-2021-3712 Ingo Schwarze reported a
    buffer overrun flaw when processing ASN.1 strings in the X509_aux_print() function, which can result in
    denial of service. Additional details can be found in the upstream advisory:
    https://www.openssl.org/news/secadv/20210824.txt For the oldstable distribution (buster), these problems
    have been fixed in version 1.1.1d-0+deb10u7. For the stable distribution (bullseye), these problems have
    been fixed in version 1.1.1k-1+deb11u1. We recommend that you upgrade your openssl packages. For the
    detailed security status of openssl please refer to its security tracker page at: https://security-
    tracker.debian.org/tracker/openssl

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the openssl packages.

For the stable distribution (bullseye), these problems have been fixed in version 1.1.1k-1+deb11u1.","https://security-tracker.debian.org/tracker/source-package/openssl
https://www.debian.org/security/2021/dsa-4963
https://security-tracker.debian.org/tracker/CVE-2021-3711
https://security-tracker.debian.org/tracker/CVE-2021-3712
https://packages.debian.org/source/buster/openssl
https://packages.debian.org/source/bullseye/openssl","
Remote package installed : libssl1.1_1.1.1d-0+deb10u6
Should be : libssl1.1_1.1.1d-0+deb10u7
Remote package installed : openssl_1.1.1d-0+deb10u6
Should be : openssl_1.1.1d-0+deb10u7
","9.8"
"153970","CVE-2021-34798","7.5","High","10.255.112.115","tcp","0","Debian DSA-4982-1 : apache2 - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 / 11 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4982 advisory.

    Several vulnerabilities have been found in the Apache HTTP server, which could result in denial of
    service. In addition a vulnerability was discovered in mod_proxy with which an attacker could trick the
    server to forward requests to arbitrary origin servers. For the oldstable distribution (buster), these
    problems have been fixed in version 2.4.38-3+deb10u6. For the stable distribution (bullseye), these
    problems have been fixed in version 2.4.51-1~deb11u1. We recommend that you upgrade your apache2 packages.
    For the detailed security status of apache2 please refer to its security tracker page at:
    https://security-tracker.debian.org/tracker/apache2

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the apache2 packages.

For the stable distribution (bullseye), these problems have been fixed in version 2.4.51-1~deb11u1.","https://security-tracker.debian.org/tracker/source-package/apache2
https://www.debian.org/security/2021/dsa-4982
https://security-tracker.debian.org/tracker/CVE-2021-34798
https://security-tracker.debian.org/tracker/CVE-2021-36160
https://security-tracker.debian.org/tracker/CVE-2021-39275
https://security-tracker.debian.org/tracker/CVE-2021-40438
https://packages.debian.org/source/buster/apache2
https://packages.debian.org/source/bullseye/apache2","
Remote package installed : apache2_2.4.38-3+deb10u5
Should be : apache2_2.4.38-3+deb10u6
Remote package installed : apache2-bin_2.4.38-3+deb10u5
Should be : apache2-bin_2.4.38-3+deb10u6
Remote package installed : apache2-data_2.4.38-3+deb10u5
Should be : apache2-data_2.4.38-3+deb10u6
Remote package installed : apache2-doc_2.4.38-3+deb10u5
Should be : apache2-doc_2.4.38-3+deb10u6
Remote package installed : apache2-utils_2.4.38-3+deb10u5
Should be : apache2-utils_2.4.38-3+deb10u6
","9.8"
"153970","CVE-2021-36160","7.5","High","10.255.112.115","tcp","0","Debian DSA-4982-1 : apache2 - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 / 11 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4982 advisory.

    Several vulnerabilities have been found in the Apache HTTP server, which could result in denial of
    service. In addition a vulnerability was discovered in mod_proxy with which an attacker could trick the
    server to forward requests to arbitrary origin servers. For the oldstable distribution (buster), these
    problems have been fixed in version 2.4.38-3+deb10u6. For the stable distribution (bullseye), these
    problems have been fixed in version 2.4.51-1~deb11u1. We recommend that you upgrade your apache2 packages.
    For the detailed security status of apache2 please refer to its security tracker page at:
    https://security-tracker.debian.org/tracker/apache2

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the apache2 packages.

For the stable distribution (bullseye), these problems have been fixed in version 2.4.51-1~deb11u1.","https://security-tracker.debian.org/tracker/source-package/apache2
https://www.debian.org/security/2021/dsa-4982
https://security-tracker.debian.org/tracker/CVE-2021-34798
https://security-tracker.debian.org/tracker/CVE-2021-36160
https://security-tracker.debian.org/tracker/CVE-2021-39275
https://security-tracker.debian.org/tracker/CVE-2021-40438
https://packages.debian.org/source/buster/apache2
https://packages.debian.org/source/bullseye/apache2","
Remote package installed : apache2_2.4.38-3+deb10u5
Should be : apache2_2.4.38-3+deb10u6
Remote package installed : apache2-bin_2.4.38-3+deb10u5
Should be : apache2-bin_2.4.38-3+deb10u6
Remote package installed : apache2-data_2.4.38-3+deb10u5
Should be : apache2-data_2.4.38-3+deb10u6
Remote package installed : apache2-doc_2.4.38-3+deb10u5
Should be : apache2-doc_2.4.38-3+deb10u6
Remote package installed : apache2-utils_2.4.38-3+deb10u5
Should be : apache2-utils_2.4.38-3+deb10u6
","9.8"
"153970","CVE-2021-39275","7.5","High","10.255.112.115","tcp","0","Debian DSA-4982-1 : apache2 - security update","The remote Debian host is missing one or more security-related updates.","The remote Debian 10 / 11 host has packages installed that are affected by multiple vulnerabilities as referenced in the
dsa-4982 advisory.

    Several vulnerabilities have been found in the Apache HTTP server, which could result in denial of
    service. In addition a vulnerability was discovered in mod_proxy with which an attacker could trick the
    server to forward requests to arbitrary origin servers. For the oldstable distribution (buster), these
    problems have been fixed in version 2.4.38-3+deb10u6. For the stable distribution (bullseye), these
    problems have been fixed in version 2.4.51-1~deb11u1. We recommend that you upgrade your apache2 packages.
    For the detailed security status of apache2 please refer to its security tracker page at:
    https://security-tracker.debian.org/tracker/apache2

Tenable has extracted the preceding description block directly from the Debian security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version
number.","Upgrade the apache2 packages.

For the stable distribution (bullseye), these problems have been fixed in version 2.4.51-1~deb11u1.","https://security-tracker.debian.org/tracker/source-package/apache2
https://www.debian.org/security/2021/dsa-4982
https://security-tracker.debian.org/tracker/CVE-2021-34798
https://security-tracker.debian.org/tracker/CVE-2021-36160
https://security-tracker.debian.org/tracker/CVE-2021-39275
https://security-tracker.debian.org/tracker/CVE-2021-40438
https://packages.debian.org/source/buster/apache2
https://packages.debian.org/source/bullseye/apache2","
Remote package installed : apache2_2.4.38-3+deb10u5
Should be : apache2_2.4.38-3+deb10u6
Remote package installed : apache2-bin_2.4.38-3+deb10u5
Should be : apache2-bin_2.4.38-3+deb10u6
Remote package installed : apache2-data_2.4.38-3+deb10u5
Should be : apache2-data_2.4.38-3+deb10u6
Remote package installed : apache2-doc_2.4.38-3+deb10u5
Should be : apache2-doc_2.4.38-3+deb10u6
Remote package installed : apache2-utils_2.4.38-3+deb10u5
Should be : apache2-utils_2.4.38-3+deb10u6
","9.8"
